Ligand,Binding Energy
ZINC000003832517_uff_E=135.16,-6.2
ZINC000003844360_uff_E=156.18,-6.2
ZINC000004471901_uff_E=179.12,-6.2
ZINC000005331413_uff_E=143.43,-6.2
ZINC000005789479_uff_E=97.34,-6.2
ZINC000009428918_uff_E=136.70,-6.2
ZINC000012505227_uff_E=468.64,-6.2
ZINC000014983624_uff_E=113.47,-6.2
ZINC000018152563_uff_E=86.07,-6.2
ZINC000020254804_uff_E=702.78,-6.2
ZINC000022159523_uff_E=678.32,-6.2
ZINC000034378882_uff_E=185.21,-6.2
ZINC000035658841_uff_E=660.71,-6.2
ZINC000036220600_uff_E=444.97,-6.2
ZINC000036532777_uff_E=520.31,-6.2
ZINC000037834707_uff_E=1360.02,-6.2
ZINC000040566696_uff_E=248.81,-6.2
ZINC000040911494_uff_E=619.80,-6.2
ZINC000042699872_uff_E=229.49,-6.2
ZINC000065398221_uff_E=390.60,-6.2
ZINC000070453844_uff_E=476.40,-6.2
ZINC000078210694_uff_E=652.43,-6.2
ZINC000095386691_uff_E=181.30,-6.2
ZINC000123637693_uff_E=274.86,-6.2
ZINC000150294391_uff_E=178.61,-6.2
ZINC000154832053_uff_E=2568.21,-6.2
ZINC000238855937_uff_E=1370.84,-6.2
ZINC000261569117_uff_E=246.53,-6.2
ZINC000261584193_uff_E=251.85,-6.2
ZINC000261584271_uff_E=256.31,-6.2
ZINC000262369861_uff_E=1473.53,-6.2
ZINC000262921627_uff_E=1442.82,-6.2
ZINC000299748800_uff_E=268.58,-6.2
ZINC000342555594_uff_E=237.72,-6.2
ZINC000584880107_uff_E=1795.71,-6.2
ZINC000725256494_uff_E=306.13,-6.2
ZINC000002213045_uff_E=179.61,-6.1
ZINC000002233423_uff_E=638.66,-6.1
ZINC000002554723_uff_E=689.48,-6.1
ZINC000002572098_uff_E=97.28,-6.1
ZINC000002598902_uff_E=196.51,-6.1
ZINC000003844355_uff_E=148.48,-6.1
ZINC000004294715_uff_E=193.72,-6.1
ZINC000004395661_uff_E=116.61,-6.1
ZINC000004704318_uff_E=113.13,-6.1
ZINC000032223535_uff_E=148.78,-6.1
ZINC000034480817_uff_E=204.64,-6.1
ZINC000034926112_uff_E=372.72,-6.1
ZINC000042436328_uff_E=389.93,-6.1
ZINC000044907743_uff_E=1440.94,-6.1
ZINC000065398220_uff_E=368.93,-6.1
ZINC000089942295_uff_E=136.87,-6.1
ZINC000100740888_uff_E=169.66,-6.1
ZINC000108423876_uff_E=125.51,-6.1
ZINC000123637483_uff_E=294.00,-6.1
ZINC000261594971_uff_E=204.59,-6.1
ZINC000262369858_uff_E=1445.38,-6.1
ZINC000408522743_uff_E=953.22,-6.1
ZINC000521398321_uff_E=640.52,-6.1
ZINC000584879961_uff_E=609.40,-6.1
ZINC000644283683_uff_E=305.00,-6.1
ZINC000000196478_uff_E=255.54,-6
ZINC000001287859_uff_E=383.51,-6
ZINC000002115223_uff_E=154.08,-6
ZINC000002139869_uff_E=297.88,-6
ZINC000002196623_uff_E=729.02,-6
ZINC000002331032_uff_E=352.99,-6
ZINC000002456662_uff_E=191.12,-6
ZINC000002572189_uff_E=63.51,-6
ZINC000002732042_uff_E=521.79,-6
ZINC000002750614_uff_E=124.86,-6
ZINC000003110006_uff_E=171.97,-6
